Symbol,Name
AXSM,Axsome Thera
ARWR,Arrowhead Pharma
EVER,Everquote Inc Cl A
APPS,Digital Turbine
ADVM,Adverum Biotechnlgs
RLMD,Relmada Therapeutics Inc
EIDX,Eidos Therapeutics Inc
MDCO,Medicines Company
RCEL,Avita Medical Limited American Depositary Shares
ZYME,Zymeworks Inc
KRMD,Repro Med Sys Inc
ROKU,Roku Inc
CDLX,Cardlytics Inc
BASI,Bioanalytical Syst
PLMR,Palomar Holdings Inc
JCS,Commun Systems Inc
KOD,Kodiak Sciences Inc
SBGL,Sibanye Gold Ltd ADR
CCC.W,Churchill Capital Corp WT
IDN,Intellicheck Mobilisia
HEBT,Hebron Technology Co. Ltd
CNST,Constellation Pharmaceuticals Inc
ENPH,Enphase Energy Inc
XPEL,Xpel Technologies
REPH,Recro Pharma Inc
STXS,Stereotaxis Inc
SVM,Silvercorp Metals Inc
INFU,Infusystems Holdings
BLDP,Ballard Power Sys
UCTT,Ultra Clean Holdings
NVCR,Novocure Ltd Ord Sh
GSB,Globalscape
LSCC,Lattice Semicond
NVRO,Nevro Corp
ATEC,Alphatec Holdings
LGL,LGL Group
SPAR,Spartan Motors Inc
PLUG,Plug Power Inc
ZYXI,Zynex Inc
LPG,Dorian Lpg Ltd
VIPS,Vipshop Holdings Ltd
LUNA,Luna Innovations Inc
PFNX,Pfenex Inc
DYAI,Dyadic International
KPTI,Karyopharm Therapeut
ZEAL,Zealand Pharma A/S ADR
CUE,Cue Biopharma Inc
AUDC,Audiocodes Ltd
SE,Sea Ltd ADR
SEAC,Sea Change Intl IN
RDVT,Red Violet Inc
ARQL,Arqule Inc
TPTX,Turning Point Therapeutics Inc
ARDX,Ardelyx Inc
MODN,Model N Inc
ATKR,Atkore International Group
CVNA,Carvana Co. Cl A
PODD,Insulet Corp
NTRA,Natera Inc
COUP,Coupa Software Inc
BLD,Topbuild Corp
FRTA,Forterra Inc
KRYS,Krystal Biotech Inc
SAFE,Safehold Inc
TNK,Teekay Tankers Ltd
MTEM,Molecular Templates Inc
FBM,Foundation Building Materials Inc
JYNT,The Joint Corp
SGEN,Seattle Genetics Inc
CNNE,Cannae Holdings Inc
ASPN,Aspen Aerogels Inc
SILV,Silvercrest Metals Inc
AVLR,Avalara Inc
INS,Intelligent Systems Corp
PCTI,Pc-Tel Inc
XBIT,Xbiotech Inc
VCYT,Veracyte Inc
VNCE,Vince Holding Corp
ATLC,Atlanticus Hld Cp
VNRX,Volitionrx Ltd
CGEN,Compugen Ltd
BLDR,Builders Firstsource
CPRX,Catalyst Pharm Inc
BHVN,Biohaven Pharmaceutical Holding Company Ltd
EDU,New Oriental Education & Technology Group
PERI,Perion Network Ltd
TLRA,Telaria Inc
SHOP,Shopify Inc
PAYC,Paycom Software Inc
PESI,Perma-Fix Envir
AQUA,Evoqua Water Technologies Corp
LAD,Lithia Motors
ASFI,Asta Funding Inc
CRSP,Crispr Therapeutics Ag
ROAD,Construction Partners Inc Cl A
EHTH,Ehealth Inc
OESX,Orion Energy Syst
CUTR,Cutera Inc
DRNA,Dicerna Pharmaceutic
SAH,Sonic Automotive
APPL,Apple Inc
